"","Nama.Latin","closestMatch","ANJA","ANJAS","SMM","KAL","PMP","PPM","ANJAP"
"268","Geoffroyus geoffroyi","0",0,0,0,0,0,5,82
"269","Geoffroyus geoffroyii","Geoffroyus geoffroyi",0,0,0,0,1,0,0
"270","Geopelia striata","0",0,1,0,0,0,0,0
"271","Glareola maldivarum","0",0,0,0,0,0,0,0
"272","Glossogobius giuris","0",0,0,0,0,0,0,0
"273","Golden Massher","0",0,0,0,0,0,0,0
"274","Goura cristata","0",0,0,0,0,2,0,5
"275","Gracula religiosa","0",0,18,3,5,0,0,0
"276","Gracupica contra","0",48,0,0,0,0,0,0
"277","Halcyon smyrnensis","0",706,0,123,0,0,0,0
"278","Haliaeetus leucogaster","0",0,0,0,0,1,2,0
"279","Haliastur indus","0",0,0,0,0,1,15,24
"280","Haliastur Sphenurus","0",0,0,0,0,0,4,0
"281","Hapithus agigator","0",0,0,0,0,0,0,0
"282","Harpactes erythrocephalus","0",0,0,0,0,0,0,0
"283","Harpyopsis novaeguineae","0",0,0,0,0,0,0,0
"284","Hemigalus derbyanus","0",21,1,0,0,0,0,0
"285","Hemipus hirundinaceus","0",0,0,0,0,0,0,0
"286","Henicopernis longicauda","0",0,0,0,0,0,0,1
"287","Heosemys spinosa","0",0,0,0,0,0,0,0
"288","Hierodula vitrea","0",0,0,0,2,0,0,0
"289","Hirundo rustica","0",0,0,0,0,0,0,0
"290","Hirundo sp","0",0,0,0,0,0,0,0
"291","Hirundo tahitica","0",0,0,5,24,0,0,0
"292","Homolopsis buccata","0",0,0,0,0,0,0,0
"293","Hydroprogne caspia","0",0,0,0,0,0,0,0
"294","Hydrosaurus amboinensis","0",0,0,0,0,0,0,0
"295","Hydrosaurus weberi","0",0,0,0,0,0,0,0
"296","Hylobates agilis","0",0,0,0,0,0,0,0
"297","Hylobates albibarbis","0",0,0,0,25,0,0,0
"298","Hypolimnas Bolina","0",0,0,0,0,0,0,0
"299","Hypolimnas misippus","0",0,0,0,0,0,0,1
"300","Hypsiscopus Plumbea","0",0,0,0,0,0,0,0
"301","Hystrix brachyura","0",0,0,0,0,0,0,0
"302","Ichthyopaga ichtyateus","Ichthyophaga ichthyaetus",0,0,0,0,0,0,0
"303","Ichthyophaga ichthyaetus","0",0,0,0,0,0,0,0
"304","Ichtyopaga Humilis","0",0,0,0,0,0,0,0
"305","Ictinaetus malaiensis","0",0,0,0,0,0,0,0
"306","Ictinaetus malayensis","0",0,8,3,0,0,0,0
"307","Ictinaetus malayensis","0",0,8,0,0,0,0,0
"308","Ikan bubara","0",0,0,0,0,0,0,0
"309","Ikan Gabus","0",0,0,0,0,0,0,0
"310","Ikan lele","0",0,0,0,0,0,0,0
"311","Imbo","0",0,0,0,0,0,0,0
"312","Irena puella","0",0,0,0,0,0,0,0
"313","Iris oratoria","0",0,0,0,0,0,0,0
"314","Isoodon macrourus","0",0,0,0,0,0,0,0
"315","Ixobrychus flavicollis","0",0,0,0,0,0,0,1
"316","Jalak kelabu","0",0,6,0,0,0,0,0
"317","Jangkrik","0",0,0,0,0,0,0,0
"318","Junonia Hylas","0",0,0,0,0,0,0,0
"319","Junonia iphita","0",0,0,0,0,0,0,1
"320","Junonia lemonias","0",0,0,0,0,0,0,1
"321","K galam","0",0,0,0,0,0,0,0
"322","Kadal","0",0,0,0,0,0,0,0
"323","Kadal putih","0",0,0,0,0,0,0,0
"324","Kalajengking","0",0,1,0,0,0,0,0
"325","Kalelawar","0",0,0,0,0,0,0,0
"326","Kecoa","0",0,0,0,0,0,0,0
"327","Kelabang","0",0,1,0,0,0,0,0
"328","Kengkareng","0",0,0,0,0,0,0,0
"329","kengkurung ","0",0,0,0,0,0,0,0
"330","Kepompong","0",0,0,0,0,0,0,0
"331","Ketupa ketupu","0",0,0,0,0,0,0,0
"332","Kucing Hutan","0",0,0,0,0,0,0,0
"333","Kumbang","0",0,0,0,0,0,0,0
"334","Kumbang Hitam","0",0,0,0,0,0,0,0
"335","Kumbang Kepala Kuning","0",0,0,0,0,0,0,0
"336","Kumbang Kepala Putih","0",0,0,0,0,0,0,0
"337","Kuntul","0",0,0,0,0,0,0,0
"338","kupu-kupu","0",0,0,0,0,0,0,0
"339","Kupu-kupu","0",0,0,0,0,0,0,0
"340","Kupu-Kupu","0",0,0,0,0,0,0,0
"341","Kupu-Kupu Cokelat Bulat-Bulat","0",0,0,0,0,0,0,0
"342","Kupu-Kupu hitam Kuning","0",0,0,0,0,0,0,0
"343","Kupu-Kupu Hitam Putih","0",0,0,0,0,0,0,0
"344","Kupu-Kupu Hitam putih Biru","0",0,0,0,0,0,0,0
"345","Kupu-Kupu Kuning","0",0,0,0,0,0,0,0
"346","Kupu-Kupu Orange","0",0,0,0,0,0,0,0
"347","Kupu-Kupu Putih","0",0,0,0,0,0,0,0
"348","Kupu -kupu dan capung","0",0,0,0,0,0,0,0
"349","Kura-kura","0",0,0,0,0,0,0,0
"350","Kura-kura papua","0",0,0,0,0,0,0,0
"351","Laba-laba","0",0,0,0,0,0,0,0
"352","Laba-Laba","0",0,0,0,0,0,0,0
"353","Laba-Laba Besar","0",0,0,0,0,0,0,0
"354","Lacertilia","0",0,0,0,0,0,0,0
"355","Lalage atrovirens","0",0,0,0,0,0,1,4
"356","Lalage leucomela","0",0,0,0,0,0,0,1
"357","lalage nigra","Lalage nigra",0,0,0,0,0,0,0
"358","Lalage nigra","0",0,0,0,0,0,0,0
"359","Lalat babi","0",0,0,0,0,0,0,0
"360","Lanius schach","0",0,0,0,0,0,0,0
"361","Laptocorisa acuta","0",0,0,0,0,0,0,0
"362","Leiopython albertisii","0",0,0,0,0,0,0,0
"363","Lepidiota stigma","0",0,0,0,0,0,0,0
"364","Leprolapis smarangdina","0",0,0,0,0,0,0,0
"365","Leptocoma sperata","0",0,0,0,4,0,0,0
"366","Leptocorisa acuta","0",0,0,0,0,0,0,0
"367","Leptoptilos javanicus","0",0,0,2,0,0,0,0
"368","Lialis burtonis","0",0,0,0,0,0,0,0
"369","Liasis fuscus","0",0,0,0,0,0,0,0
"370","Limacodidae","0",0,0,0,0,0,0,0
"371","Liopeltis tricolor","0",0,0,1,3,0,0,0
"372","Lipan","0",0,0,0,0,0,0,0
"373","Litoria infrafrenata","0",0,0,0,0,0,0,2
