,Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
314,K galam,0,0,0,0,0,0,0
315,Kadal,0,0,0,0,0,0,0
316,Kadal putih,0,0,0,0,0,0,0
317,Kalajengking,0,1,0,0,0,0,0
318,Kalelawar,0,0,0,0,0,0,0
319,Kecoa,0,0,0,0,0,0,0
320,Kelabang,0,0,0,0,0,0,0
321,Kengkareng,0,0,0,0,0,0,0
322,kengkurung ,0,0,0,0,0,0,0
323,Kepompong,0,0,0,0,0,0,0
324,Ketupa ketupu,0,0,0,0,0,0,0
325,Kucing Hutan,0,0,0,0,0,0,0
326,Kumbang,0,0,0,0,0,0,0
327,Kumbang Hitam,0,0,0,0,0,0,0
328,Kumbang Kepala Kuning,0,0,0,0,0,0,0
329,Kumbang Kepala Putih,0,0,0,0,0,0,0
330,Kuntul,0,0,0,0,0,0,0
341,Kupu -kupu dan capung,0,0,0,0,0,0,0
331,kupu-kupu,0,0,0,0,0,0,0
332,Kupu-kupu,0,0,0,0,2,0,0
333,Kupu-Kupu,0,0,0,0,0,0,0
334,Kupu-Kupu Cokelat Bulat-Bulat,0,0,0,0,0,0,0
335,Kupu-Kupu hitam Kuning,0,0,0,0,0,0,0
336,Kupu-Kupu Hitam Putih,0,0,0,0,0,0,0
337,Kupu-Kupu Hitam putih Biru,0,0,0,0,0,0,0
338,Kupu-Kupu Kuning,0,0,0,0,0,0,0
339,Kupu-Kupu Orange,0,0,0,0,0,0,0
340,Kupu-Kupu Putih,0,0,0,0,0,0,0
342,Kura-kura,0,0,0,0,0,0,0
343,Kura-kura papua,0,0,0,0,1,0,0
344,Laba-laba,0,0,0,0,0,0,0
345,Laba-Laba,0,0,0,0,0,0,0
346,Laba-Laba Besar,0,0,0,0,0,0,0
347,Lacertilia,0,0,0,0,0,0,0
348,Lalage atrovirens,0,0,0,0,0,16,1
349,Lalage leucomela,0,0,0,0,0,0,4
351,Lalage nigra,0,0,0,0,0,0,0
352,Lalat babi,0,0,0,0,0,0,0
353,Lanius schach,0,0,0,0,0,0,0
354,Laptocorisa acuta,0,0,0,0,0,0,0
355,Leiopython albertisii,0,0,0,0,0,0,2
356,Lepidiota stigma,0,0,0,0,0,0,0
357,Leprolapis smarangdina,0,0,0,0,0,0,0
358,Leptocoma sperata,0,0,0,4,0,0,0
359,Leptocorisa acuta,0,0,0,1,0,0,0
360,Leptoptilos javanicus,0,0,1,0,0,0,0
361,Lialis burtonis,0,0,0,0,0,0,0
362,Liasis fuscus,0,0,0,0,0,0,0
363,Limacodidae,0,0,0,0,0,0,0
364,Liopeltis tricolor,0,1,0,2,0,0,0
365,Lipan,0,0,0,0,0,0,0
