Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
Kengkareng,0,0,0,0,0,0,0
kengkurung ,0,0,0,0,0,0,0
Kepompong,0,0,0,0,0,0,0
Ketupa ketupu,0,0,0,0,0,0,0
Kucing Hutan,0,0,0,0,0,0,0
Kumbang,0,0,0,0,0,0,0
Kumbang Hitam,0,0,0,1,0,0,0
Kumbang Kepala Kuning,0,0,0,0,0,0,0
Kumbang Kepala Putih,0,0,0,0,0,0,0
Kuntul,0,0,0,0,0,0,0
Kupu -kupu dan capung,0,0,0,0,0,0,0
kupu-kupu,0,0,0,0,0,0,0
Kupu-kupu,0,0,0,0,0,0,0
Kupu-Kupu,0,0,0,0,0,0,0
Kupu-Kupu Cokelat Bulat-Bulat,0,0,0,0,0,0,0
Kupu-Kupu hitam Kuning,0,0,0,0,0,0,0
Kupu-Kupu Hitam Putih,0,0,0,0,0,0,0
Kupu-Kupu Hitam putih Biru,0,0,0,0,0,0,0
Kupu-Kupu Kuning,0,0,0,0,0,0,0
Kupu-Kupu Orange,0,0,0,0,0,0,0
Kupu-Kupu Putih,0,0,0,0,0,0,0
Kura-kura,0,0,0,0,0,0,0
Laba-laba,0,0,0,0,0,0,0
Laba-Laba,0,0,0,0,0,0,0
Laba-Laba Besar,0,0,0,0,0,0,0
Lacertilia,0,0,0,0,0,0,0
Lalage atrovirens,0,0,0,0,0,1,3
Lalage leucomela,0,0,0,0,0,0,0
Lalage nigra,0,2,0,0,0,0,2
Lalat babi,0,0,0,0,0,0,0
Lanius schach,0,0,0,1,0,0,0
Laptocorisa acuta,0,0,0,0,0,0,0
Leiopython albertisii,0,0,0,0,0,0,0
Lepidiota stigma,0,0,0,0,0,0,0
Leprolapis smarangdina,0,0,0,0,0,0,0
Leptocoma sperata,0,0,0,2,0,0,0
Leptocorisa acuta,0,0,0,0,0,0,0
Leptoptilos javanicus,0,0,0,0,0,0,0
Lialis burtonis,0,0,0,0,0,0,0
Liasis fuscus,0,0,0,0,1,0,0
Limacodidae,0,0,0,0,0,0,0
Liopeltis tricolor,0,0,0,2,0,0,0
Lipan,0,0,0,0,0,0,0
Litoria infrafrenata,0,0,0,0,0,2,3
Locusta migratoria,0,0,0,0,0,0,0
Locustella fasciolata,0,0,0,0,0,0,0
Lonchura fuscans,0,0,0,0,0,0,0
Lonchura maja,1,0,0,0,0,0,0
Lonchura punctulata,0,0,0,0,0,0,0
Lonchura tristissima,0,0,0,0,0,0,0
Lophotriorchis kienerii,0,0,0,0,0,0,0
Lophura erythrophthalma,0,0,0,0,0,0,0
Loriculus aurantiifrons,0,0,0,0,0,0,0
Loriculus galgulus,0,0,0,0,0,0,0
Lorius lory,0,0,0,0,0,33,131
Lutra sp.,0,0,0,0,0,0,0
Lutrinae,0,0,0,0,0,0,0
Lutrogale perspicillata,0,2,0,0,0,0,0
Lutung,0,0,0,0,0,0,0
Lycodon capucinus,0,0,0,2,0,0,0
Lyssa zampa,0,0,0,0,0,0,0
Lyssa Zampa,0,0,0,0,0,0,0
Macaca fascicularis,9,7,125,147,0,0,0
Macaca nemestrina,1,1,0,63,0,0,0
Macroglossum regulus,0,0,0,0,0,0,0
Macropsita pusio,0,0,0,0,0,0,0
Macropygia amboinensis,0,0,0,0,0,1,10
Macropygia nigrirostris,0,0,0,0,0,0,2
Mahasena carbetti,0,0,0,0,0,0,0
Malayopython reticulatus,0,0,0,5,0,0,0
Malurus alboscapulatus,0,0,0,0,0,6,0
Malurus cyanocephalus,0,0,0,0,0,13,16
Manucodia ater,0,0,0,0,4,1,0
